unemployment,dollar,yuan,inflation,oil,key_rate,year
8.9,27.89,3.364,2.76,25.75,25.0,2001
8.9,27.89,3.364,2.76,25.75,25.0,2001
8.9,27.89,3.364,2.76,25.75,25.0,2001
8.9,27.89,3.364,2.76,26.18,25.0,2001
8.9,27.89,3.364,2.76,26.2,25.0,2001
8.9,27.89,3.364,2.76,24.79,25.0,2001
8.9,27.89,3.364,2.76,25.62,25.0,2001
8.9,27.89,3.364,2.76,27.04,25.0,2001
8.9,27.89,3.364,2.76,27.04,25.0,2001
8.9,27.89,3.364,2.76,27.04,25.0,2001
8.9,27.89,3.364,2.76,26.53,25.0,2001
8.9,27.89,3.364,2.76,26.67,25.0,2001
8.9,27.89,3.364,2.76,26.26,25.0,2001
8.9,27.89,3.364,2.76,26.46,25.0,2001
8.9,27.89,3.364,2.76,26.98,25.0,2001
8.9,27.89,3.364,2.76,26.98,25.0,2001
8.9,27.89,3.364,2.76,26.98,25.0,2001
8.9,27.89,3.364,2.76,26.6,25.0,2001
8.9,27.89,3.364,2.76,26.89,25.0,2001
8.9,27.89,3.364,2.76,26.66,25.0,2001
8.9,28.4,3.4270000000000005,2.28,28.1,25.0,2001
8.9,28.4,3.4270000000000005,2.28,29.19,25.0,2001
8.9,28.4,3.4270000000000005,2.28,29.19,25.0,2001
8.9,28.4,3.4270000000000005,2.28,29.19,25.0,2001
8.9,28.4,3.4270000000000005,2.28,28.45,25.0,2001
8.9,28.4,3.4270000000000005,2.28,28.7,25.0,2001
8.9,28.4,3.4270000000000005,2.28,29.91,25.0,2001
8.9,28.4,3.4270000000000005,2.28,29.84,25.0,2001
8.9,28.4,3.4270000000000005,2.28,29.25,25.0,2001
8.9,28.4,3.4270000000000005,2.28,29.25,25.0,2001
8.9,28.4,3.4270000000000005,2.28,29.25,25.0,2001
8.9,28.4,3.4270000000000005,2.28,29.0,25.0,2001
8.9,28.4,3.4270000000000005,2.28,28.46,25.0,2001
8.9,28.4,3.4270000000000005,2.28,27.28,25.0,2001
8.9,28.4,3.4270000000000005,2.28,26.64,25.0,2001
8.9,28.4,3.4270000000000005,2.28,26.89,25.0,2001
8.9,28.4,3.4270000000000005,2.28,26.89,25.0,2001
8.9,28.4,3.4270000000000005,2.28,26.89,25.0,2001
8.9,28.4,3.4270000000000005,2.28,27.31,25.0,2001
8.9,28.4,3.4270000000000005,2.28,26.62,25.0,2001
8.9,28.4,3.4270000000000005,2.28,26.37,25.0,2001
8.9,28.4,3.4270000000000005,2.28,26.46,25.0,2001
8.9,28.4,3.4270000000000005,2.28,26.52,25.0,2001
8.9,28.4,3.4270000000000005,2.28,26.52,25.0,2001
8.9,28.4,3.4270000000000005,2.28,26.52,25.0,2001
8.9,28.4,3.4270000000000005,2.28,26.11,25.0,2001
8.9,28.4,3.4270000000000005,2.28,26.02,25.0,2001
8.9,28.4,3.4270000000000005,2.28,25.57,25.0,2001
8.9,28.62,3.47,1.86,25.85,25.0,2001
8.9,28.62,3.47,1.86,26.0,25.0,2001
8.9,28.62,3.47,1.86,26.0,25.0,2001
8.9,28.62,3.47,1.86,26.0,25.0,2001
8.9,28.62,3.47,1.86,26.71,25.0,2001
8.9,28.62,3.47,1.86,26.48,25.0,2001
8.9,28.62,3.47,1.86,27.23,25.0,2001
8.9,28.62,3.47,1.86,26.68,25.0,2001
8.9,28.62,3.47,1.86,26.33,25.0,2001
8.9,28.62,3.47,1.86,26.33,25.0,2001
8.9,28.62,3.47,1.86,26.33,25.0,2001
8.9,28.62,3.47,1.86,25.9,25.0,2001
8.9,28.62,3.47,1.86,25.28,25.0,2001
8.9,28.62,3.47,1.86,23.93,25.0,2001
8.9,28.62,3.47,1.86,24.19,25.0,2001
8.9,28.62,3.47,1.86,25.05,25.0,2001
8.9,28.62,3.47,1.86,25.05,25.0,2001
8.9,28.62,3.47,1.86,25.05,25.0,2001
8.9,28.62,3.47,1.86,24.81,25.0,2001
8.9,28.62,3.47,1.86,24.62,25.0,2001
8.9,28.62,3.47,1.86,25.0,25.0,2001
8.9,28.62,3.47,1.86,24.63,25.0,2001
8.9,28.62,3.47,1.86,25.38,25.0,2001
8.9,28.62,3.47,1.86,25.38,25.0,2001
8.9,28.62,3.47,1.86,25.38,25.0,2001
8.9,28.62,3.47,1.86,25.4,25.0,2001
8.9,28.62,3.47,1.86,25.89,25.0,2001
8.9,28.62,3.47,1.86,25.27,25.0,2001
8.9,28.62,3.47,1.86,24.5,25.0,2001
8.9,28.62,3.47,1.86,24.74,25.0,2001
8.9,28.62,3.47,1.86,24.74,25.0,2001
8.9,28.62,3.47,1.79,24.74,25.0,2001
8.9,28.62,3.47,1.79,24.11,25.0,2001
8.9,28.62,3.47,1.79,24.77,25.0,2001
8.9,28.62,3.47,1.79,25.32,25.0,2001
8.9,28.62,3.47,1.79,25.32,25.0,2001
8.9,28.62,3.47,1.79,25.17,25.0,2001
8.9,28.62,3.47,1.79,25.17,25.0,2001
8.9,28.62,3.47,1.79,25.17,25.0,2001
8.9,28.62,3.47,1.79,25.28,25.0,2001
8.9,28.62,3.47,1.79,26.54,25.0,2001
8.9,28.62,3.47,1.79,26.53,25.0,2001
8.9,28.62,3.47,1.79,27.37,25.0,2001
8.9,28.62,3.47,1.79,26.9,25.0,2001
8.9,28.62,3.47,1.79,26.9,25.0,2001
8.9,28.62,3.47,1.79,26.9,25.0,2001
8.9,28.62,3.47,1.79,26.9,25.0,2001
8.9,28.62,3.47,1.79,27.63,25.0,2001
8.9,28.62,3.47,1.79,27.29,25.0,2001
8.9,28.62,3.47,1.79,26.83,25.0,2001
8.9,28.62,3.47,1.79,26.39,25.0,2001
8.9,28.62,3.47,1.79,26.39,25.0,2001
8.9,28.62,3.47,1.79,26.39,25.0,2001
8.9,28.62,3.47,1.79,26.55,25.0,2001
8.9,28.62,3.47,1.79,26.32,25.0,2001
8.9,28.62,3.47,1.79,26.82,25.0,2001
8.9,28.62,3.47,1.79,27.6,25.0,2001
8.9,28.62,3.47,1.79,27.79,25.0,2001
8.9,28.62,3.47,1.79,27.79,25.0,2001
8.9,28.62,3.47,1.79,27.79,25.0,2001
8.9,28.62,3.47,1.79,27.89,25.0,2001
8.9,28.62,3.47,1.78,28.33,25.0,2001
8.9,28.62,3.47,1.78,27.59,25.0,2001
8.9,28.62,3.47,1.78,28.07,25.0,2001
8.9,28.62,3.47,1.78,28.19,25.0,2001
8.9,28.62,3.47,1.78,28.19,25.0,2001
8.9,28.62,3.47,1.78,28.19,25.0,2001
8.9,28.62,3.47,1.78,27.25,25.0,2001
8.9,28.62,3.47,1.78,27.9,25.0,2001
8.9,28.62,3.47,1.78,28.15,25.0,2001
8.9,28.62,3.47,1.78,28.48,25.0,2001
8.9,28.62,3.47,1.78,28.19,25.0,2001
8.9,28.62,3.47,1.78,28.19,25.0,2001
8.9,28.62,3.47,1.78,28.19,25.0,2001
8.9,28.62,3.47,1.78,28.28,25.0,2001
8.9,28.62,3.47,1.78,28.16,25.0,2001
8.9,28.62,3.47,1.78,28.36,25.0,2001
8.9,28.62,3.47,1.78,28.46,25.0,2001
8.9,28.62,3.47,1.78,29.39,25.0,2001
8.9,28.62,3.47,1.78,29.39,25.0,2001
8.9,28.62,3.47,1.78,29.39,25.0,2001
8.9,28.62,3.47,1.78,29.42,25.0,2001
8.9,28.62,3.47,1.78,29.36,25.0,2001
8.9,28.62,3.47,1.78,29.24,25.0,2001
8.9,28.62,3.47,1.78,28.53,25.0,2001
8.9,28.62,3.47,1.78,28.48,25.0,2001
8.9,28.62,3.47,1.78,28.48,25.0,2001
8.9,28.62,3.47,1.78,28.48,25.0,2001
8.9,28.62,3.47,1.78,28.62,25.0,2001
8.9,28.62,3.47,1.78,29.17,25.0,2001
8.9,28.62,3.47,1.78,29.14,25.0,2001
8.9,28.62,3.47,1.78,29.34,25.0,2001
8.9,29.14,3.515,1.62,29.07,25.0,2001
8.9,29.14,3.515,1.62,29.07,25.0,2001
8.9,29.14,3.515,1.62,29.07,25.0,2001
8.9,29.14,3.515,1.62,29.26,25.0,2001
8.9,29.14,3.515,1.62,29.68,25.0,2001
8.9,29.14,3.515,1.62,28.96,25.0,2001
8.9,29.14,3.515,1.62,28.5,25.0,2001
8.9,29.14,3.515,1.62,29.44,25.0,2001
8.9,29.14,3.515,1.62,29.44,25.0,2001
8.9,29.14,3.515,1.62,29.44,25.0,2001
8.9,29.14,3.515,1.62,29.57,25.0,2001
8.9,29.14,3.515,1.62,29.46,25.0,2001
8.9,29.14,3.515,1.62,29.34,25.0,2001
8.9,29.14,3.515,1.62,29.59,25.0,2001
8.9,29.14,3.515,1.62,28.12,25.0,2001
8.9,29.14,3.515,1.62,28.12,25.0,2001
8.9,29.14,3.515,1.62,28.12,25.0,2001
8.9,29.14,3.515,1.62,27.01,25.0,2001
8.9,29.14,3.515,1.62,26.98,25.0,2001
8.9,29.14,3.515,1.62,26.09,25.0,2001
8.9,29.14,3.515,1.62,26.3,25.0,2001
8.9,29.14,3.515,1.62,26.59,25.0,2001
8.9,29.14,3.515,1.62,26.59,25.0,2001
8.9,29.14,3.515,1.62,26.59,25.0,2001
8.9,29.14,3.515,1.62,27.07,25.0,2001
8.9,29.14,3.515,1.62,26.99,25.0,2001
8.9,29.14,3.515,1.62,25.66,25.0,2001
8.9,29.14,3.515,1.62,25.4,25.0,2001
8.9,29.14,3.515,1.62,26.08,25.0,2001
8.9,29.14,3.515,1.62,26.08,25.0,2001
8.9,29.14,3.515,0.45,26.08,25.0,2001
8.9,29.14,3.515,0.45,25.64,25.0,2001
8.9,29.14,3.515,0.45,25.36,25.0,2001
8.9,29.14,3.515,0.45,25.8,25.0,2001
8.9,29.14,3.515,0.45,25.84,25.0,2001
8.9,29.14,3.515,0.45,26.81,25.0,2001
8.9,29.14,3.515,0.45,26.81,25.0,2001
8.9,29.14,3.515,0.45,26.81,25.0,2001
8.9,29.14,3.515,0.45,26.15,25.0,2001
8.9,29.14,3.515,0.45,25.93,25.0,2001
8.9,29.14,3.515,0.45,25.52,25.0,2001
8.9,29.14,3.515,0.45,25.14,25.0,2001
8.9,29.14,3.515,0.45,24.97,25.0,2001
8.9,29.14,3.515,0.45,24.97,25.0,2001
8.9,29.14,3.515,0.45,24.97,25.0,2001
8.9,29.14,3.515,0.45,24.78,25.0,2001
8.9,29.14,3.515,0.45,24.89,25.0,2001
8.9,29.14,3.515,0.45,24.22,25.0,2001
8.9,29.14,3.515,0.45,24.05,25.0,2001
8.9,29.14,3.515,0.45,24.64,25.0,2001
8.9,29.14,3.515,0.45,24.64,25.0,2001
8.9,29.14,3.515,0.45,24.64,25.0,2001
8.9,29.14,3.515,0.45,24.92,25.0,2001
8.9,29.14,3.515,0.45,24.9,25.0,2001
8.9,29.14,3.515,0.45,25.25,25.0,2001
8.9,29.14,3.515,0.45,25.14,25.0,2001
8.9,29.14,3.515,0.45,25.19,25.0,2001
8.9,29.14,3.515,0.45,25.19,25.0,2001
8.9,29.14,3.515,0.45,25.19,25.0,2001
8.9,29.14,3.515,0.45,24.96,25.0,2001
8.9,29.14,3.515,0.45,24.69,25.0,2001
8.9,29.32,3.536,0.01,24.96,25.0,2001
8.9,29.32,3.536,0.01,26.13,25.0,2001
8.9,29.32,3.536,0.01,25.69,25.0,2001
8.9,29.32,3.536,0.01,25.69,25.0,2001
8.9,29.32,3.536,0.01,25.69,25.0,2001
8.9,29.32,3.536,0.01,25.83,25.0,2001
8.9,29.32,3.536,0.01,26.08,25.0,2001
8.9,29.32,3.536,0.01,25.7,25.0,2001
8.9,29.32,3.536,0.01,25.68,25.0,2001
8.9,29.32,3.536,0.01,25.98,25.0,2001
8.9,29.32,3.536,0.01,25.98,25.0,2001
8.9,29.32,3.536,0.01,25.98,25.0,2001
8.9,29.32,3.536,0.01,25.88,25.0,2001
8.9,29.32,3.536,0.01,25.99,25.0,2001
8.9,29.32,3.536,0.01,25.55,25.0,2001
8.9,29.32,3.536,0.01,25.55,25.0,2001
8.9,29.32,3.536,0.01,24.73,25.0,2001
8.9,29.32,3.536,0.01,24.73,25.0,2001
8.9,29.32,3.536,0.01,24.73,25.0,2001
8.9,29.32,3.536,0.01,25.05,25.0,2001
8.9,29.32,3.536,0.01,25.49,25.0,2001
8.9,29.32,3.536,0.01,25.34,25.0,2001
8.9,29.32,3.536,0.01,25.6,25.0,2001
8.9,29.32,3.536,0.01,25.95,25.0,2001
8.9,29.32,3.536,0.01,25.95,25.0,2001
8.9,29.32,3.536,0.01,25.95,25.0,2001
8.9,29.32,3.536,0.01,26.08,25.0,2001
8.9,29.32,3.536,0.01,26.47,25.0,2001
8.9,29.32,3.536,0.01,26.53,25.0,2001
8.9,29.32,3.536,0.01,26.09,25.0,2001
8.9,29.32,3.536,0.01,26.41,25.0,2001
8.9,29.41,3.548,0.6,26.41,25.0,2001
8.9,29.41,3.548,0.6,26.41,25.0,2001
8.9,29.41,3.548,0.6,26.54,25.0,2001
8.9,29.41,3.548,0.6,26.26,25.0,2001
8.9,29.41,3.548,0.6,26.32,25.0,2001
8.9,29.41,3.548,0.6,26.96,25.0,2001
8.9,29.41,3.548,0.6,27.69,25.0,2001
8.9,29.41,3.548,0.6,27.69,25.0,2001
8.9,29.41,3.548,0.6,27.69,25.0,2001
8.9,29.41,3.548,0.6,27.45,25.0,2001
8.9,29.41,3.548,0.6,29.06,25.0,2001
8.9,29.41,3.548,0.6,28.02,25.0,2001
8.9,29.41,3.548,0.6,28.1,25.0,2001
8.9,29.41,3.548,0.6,29.43,25.0,2001
8.9,29.41,3.548,0.6,29.43,25.0,2001
8.9,29.41,3.548,0.6,29.43,25.0,2001
8.9,29.41,3.548,0.6,28.38,25.0,2001
8.9,29.41,3.548,0.6,27.27,25.0,2001
8.9,29.41,3.548,0.6,26.32,25.0,2001
8.9,29.41,3.548,0.6,25.92,25.0,2001
8.9,29.41,3.548,0.6,25.44,25.0,2001
8.9,29.41,3.548,0.6,25.44,25.0,2001
8.9,29.41,3.548,0.6,25.44,25.0,2001
8.9,29.41,3.548,0.6,22.02,25.0,2001
8.9,29.41,3.548,0.6,22.38,25.0,2001
8.9,29.41,3.548,0.6,23.0,25.0,2001
8.9,29.41,3.548,0.6,22.79,25.0,2001
8.9,29.41,3.548,0.6,23.26,25.0,2001
8.9,29.41,3.548,0.6,23.26,25.0,2001
8.9,29.41,3.548,0.6,23.26,25.0,2001
8.9,29.41,3.548,1.09,22.89,25.0,2001
8.9,29.41,3.548,1.09,22.05,25.0,2001
8.9,29.41,3.548,1.09,21.52,25.0,2001
8.9,29.41,3.548,1.09,22.15,25.0,2001
8.9,29.41,3.548,1.09,21.63,25.0,2001
8.9,29.41,3.548,1.09,21.63,25.0,2001
8.9,29.41,3.548,1.09,21.63,25.0,2001
8.9,29.41,3.548,1.09,21.57,25.0,2001
8.9,29.41,3.548,1.09,21.88,25.0,2001
8.9,29.41,3.548,1.09,22.01,25.0,2001
8.9,29.41,3.548,1.09,22.46,25.0,2001
8.9,29.41,3.548,1.09,21.73,25.0,2001
