data,dollar,yuan
2024-07-06,881348.0,12.0058
2024-07-05,881205.0,11.9896
2024-07-04,879506.0,11.8936
2024-07-03,879921.0,11.9017
2024-07-02,872972.0,11.8019
2024-06-29,857480.0,11.5756
2024-06-28,849640.0,11.4753
2024-06-27,878064.0,11.8748
2024-06-26,872770.0,11.8105
2024-06-25,873730.0,11.8582
2024-06-22,879595.0,12.0455
2024-06-21,854176.0,11.5185
2024-06-20,826282.0,11.1652
2024-06-19,870354.0,11.7964
2024-06-18,890499.0,12.1267
2024-06-15,890658.0,12.1629
2024-06-14,882080.0,12.0408
2024-06-12,890214.0,12.231
2024-06-11,889944.0,12.2213
2024-06-08,887606.0,12.229
2024-06-07,887604.0,12.2251
2024-06-06,887436.0,12.2244
2024-06-05,887574.0,12.2248
2024-06-04,893755.0,12.3011
2024-06-01,901915.0,12.4028
2024-05-31,897869.0,12.365
2024-05-30,892589.0,12.2752
2024-05-29,884375.0,12.1628
2024-05-28,886852.0,12.1903
2024-05-25,897026.0,12.33
2024-05-24,902486.0,12.4266
2024-05-23,901887.0,12.4274
2024-05-22,904082.0,12.4613
2024-05-21,906537.0,12.51
2024-05-18,909873.0,12.5753
2024-05-17,909239.0,12.5832
2024-05-16,912573.0,12.6113
2024-05-15,913591.0,12.6025
2024-05-14,916330.0,12.623
2024-05-09,918239.0,12.6243
2024-05-08,911231.0,12.5962
2024-05-07,913124.0,12.6453
2024-05-04,916918.0,12.6972
2024-05-03,920538.0,12.6821
2024-04-28,917791.0,12.5657
2024-04-27,920134.0,12.6347
2024-04-26,921314.0,12.6716
2024-04-25,925058.0,12.7183
2024-04-24,932918.0,12.8396
2024-04-23,932519.0,12.8484
2024-04-20,934409.0,12.8816
2024-04-19,940922.0,12.976
2024-04-18,943242.0,13.0
2024-04-17,940742.0,12.9331
2024-04-16,935891.0,12.8844
2024-04-13,934419.0,12.8685
2024-04-12,937196.0,12.9119
2024-04-11,932198.0,12.873
2024-04-10,927463.0,12.8004
2024-04-09,925810.0,12.7696
2024-04-06,924155.0,12.7602
2024-04-05,923058.0,12.7143
2024-04-04,923892.0,12.7145
2024-04-03,925254.0,12.7211
2024-04-02,922914.0,12.6872
2024-03-30,923660.0,12.671
2024-03-29,922628.0,12.6979
2024-03-28,925919.0,12.7477
2024-03-27,925745.0,12.7844
2024-03-26,927761.0,12.7893
2024-03-23,926118.0,12.7445
2024-03-22,919499.0,12.7519
2024-03-21,926861.0,12.8337
2024-03-20,922243.0,12.7729
2024-03-19,919829.0,12.7501
2024-03-16,918700.0,12.7328
2024-03-15,916359.0,12.7151
2024-03-14,915449.0,12.7041
2024-03-13,908818.0,12.644
2024-03-12,906252.0,12.5938
2024-03-08,907493.0,12.5756
2024-03-07,903412.0,12.5061
2024-03-06,911604.0,12.618
2024-03-05,913534.0,12.6478
2024-03-02,913336.0,12.6316
2024-03-01,908423.0,12.5675
2024-02-29,918692.0,12.7085
2024-02-28,920425.0,12.7357
2024-02-27,926321.0,12.7809
2024-02-23,927519.0,12.7951
2024-02-22,924387.0,12.8039
2024-02-21,923490.0,12.797
2024-02-20,924102.0,12.7662
2024-02-17,925492.0,12.7418
2024-02-16,918237.0,12.6566
2024-02-15,914316.0,12.5833
2024-02-14,912057.0,12.5814
2024-02-13,910758.0,12.5526
2024-02-10,908901.0,12.5407
2024-02-09,912561.0,12.6352
2024-02-08,911514.0,12.6484
2024-02-07,906842.0,12.5926
2024-02-06,912434.0,12.6335
2024-02-03,906626.0,12.6002
2024-02-02,902299.0,12.5357
2024-02-01,896678.0,12.458
2024-01-31,892887.0,12.4066
2024-01-30,896090.0,12.449
2024-01-27,895159.0,12.4375
2024-01-26,886562.0,12.327
2024-01-25,882829.0,12.2887
2024-01-24,879199.0,12.2274
2024-01-23,879724.0,12.1803
2024-01-20,885896.0,12.2706
2024-01-19,886610.0,12.249
2024-01-18,883540.0,12.1935
2024-01-17,876457.0,12.1217
2024-01-16,876772.0,12.152
2024-01-13,881324.0,12.2428
2024-01-12,887818.0,12.363
2024-01-11,893939.0,12.4305
2024-01-10,904040.0,12.5861
2023-12-30,896883.0,12.5762
2023-12-29,903041.0,12.6749
2023-12-28,917051.0,12.8011
2023-12-27,917069.0,12.7937
2023-12-26,919690.0,12.8379
2023-12-23,919389.0,12.8598
2023-12-22,917062.0,12.8124
2023-12-21,904056.0,12.6577
2023-12-20,900870.0,12.579
2023-12-19,904162.0,12.6578
2023-12-16,896966.0,12.6091
2023-12-15,896741.0,12.5457
2023-12-14,898926.0,12.4993
2023-12-13,902158.0,12.5636
2023-12-12,909846.0,12.6503
2023-12-09,916402.0,12.7893
2023-12-08,925654.0,12.922
2023-12-07,927826.0,12.9511
2023-12-06,915823.0,12.8073
2023-12-05,906728.0,12.6897
2023-12-02,897619.0,12.5479
2023-12-01,885819.0,12.3927
2023-11-30,888841.0,12.4527
2023-11-29,886102.0,12.3685
2023-11-28,887045.0,12.3842
2023-11-25,888133.0,12.3949
2023-11-24,881206.0,12.3225
2023-11-23,881648.0,12.3026
2023-11-22,878701.0,12.3009
2023-11-21,884954.0,12.323
2023-11-18,891237.0,12.3104
2023-11-17,889466.0,12.2479
2023-11-16,894565.0,12.3348
2023-11-15,912570.0,12.4948
2023-11-14,921185.0,12.6122
2023-11-11,920535.0,12.5979
2023-11-10,919266.0,12.5998
2023-11-09,921973.0,12.663
2023-11-08,924151.0,12.6656
2023-11-04,930351.0,12.6911
2023-11-03,931730.0,12.7042
2023-11-02,932801.0,12.7052
2023-11-01,920226.0,12.5339
2023-10-31,932435.0,12.7071
2023-10-28,932174.0,12.7122
2023-10-27,935616.0,12.7507
2023-10-26,931507.0,12.7084
2023-10-25,935224.0,12.766
2023-10-24,947081.0,12.9219
2023-10-21,959053.0,13.0688
2023-10-20,973074.0,13.2533
2023-10-19,973724.0,13.2881
2023-10-18,973458.0,13.2855
2023-10-17,972865.0,13.2893
2023-10-14,973075.0,13.3026
2023-10-13,969948.0,13.284
2023-10-12,999808.0,13.6982
2023-10-11,999349.0,13.6821
2023-10-10,1013598.0,13.8926
2023-10-07,1004911.0,13.7373
2023-10-06,996762.0,13.6183
2023-10-05,994555.0,13.5779
2023-10-04,992677.0,13.5556
2023-10-03,984785.0,13.4955
2023-09-30,974147.0,13.3587
2023-09-29,970018.0,13.2753
2023-09-28,965000.0,13.1852
2023-09-27,962378.0,13.1504
2023-09-26,961456.0,13.1394
2023-09-23,960419.0,13.1414
2023-09-22,960762.0,13.1335
2023-09-21,966172.0,13.2097
2023-09-20,962236.0,13.1695
2023-09-19,966472.0,13.2387
2023-09-16,966338.0,13.2672
2023-09-15,961609.0,13.1931
2023-09-14,959794.0,13.1735
2023-09-13,947035.0,12.9522
2023-09-12,965083.0,13.1975
2023-09-09,979241.0,13.3135
2023-09-08,981961.0,13.3787
2023-09-07,978439.0,13.3749
2023-09-06,975383.0,13.3402
2023-09-05,966199.0,13.2861
2023-09-02,963411.0,13.2479
2023-09-01,963344.0,13.1943
2023-08-31,959283.0,13.1311
2023-08-30,957070.0,13.1096
2023-08-29,954717.0,13.055
2023-08-26,947117.0,12.972
2023-08-25,944007.0,12.9407
2023-08-24,944421.0,12.9215
2023-08-23,941185.0,12.8734
2023-08-22,941424.0,12.862
2023-08-19,934047.0,12.7545
2023-08-18,937460.0,12.7875
2023-08-17,967045.0,13.2065
2023-08-16,974217.0,13.3227
2023-08-15,1010399.0,13.8741
2023-08-12,982066.0,13.5351
2023-08-11,972794.0,13.459
2023-08-10,973999.0,13.4741
2023-08-09,960755.0,13.277
2023-08-08,965668.0,13.41
2023-08-05,948076.0,13.1755
2023-08-04,937792.0,13.0395
2023-08-03,928410.0,12.9223
2023-08-02,917755.0,12.7855
2023-08-01,915923.0,12.7949
2023-07-29,909783.0,12.6891
2023-07-28,900225.0,12.5897
2023-07-27,900468.0,12.5766
2023-07-26,900945.0,12.5988
2023-07-25,904890.0,12.5536
2023-07-22,903846.0,12.5784
2023-07-21,908545.0,12.6455
2023-07-20,912046.0,12.6303
2023-07-19,906906.0,12.6351
2023-07-18,904217.0,12.5927
2023-07-15,901190.0,12.6072
2023-07-14,901757.0,12.581
2023-07-13,906253.0,12.5829
2023-07-12,905045.0,12.5491
2023-07-11,914931.0,12.6231
2023-07-08,916879.0,12.6377
2023-07-07,925695.0,12.7551
2023-07-06,903380.0,12.4484
2023-07-05,895450.0,12.3722
2023-07-04,893255.0,12.2923
2023-07-01,883844.0,12.1588
2023-06-30,870341.0,11.9894
2023-06-29,856192.0,11.7958
2023-06-28,850504.0,11.768
2023-06-27,846642.0,11.6875
2023-06-24,840793.0,11.6455
2023-06-23,836077.0,11.6221
2023-06-22,842467.0,11.7059
2023-06-21,842336.0,11.7255
2023-06-20,839866.0,11.7153
2023-06-17,836498.0,11.733
2023-06-16,839611.0,11.7356
2023-06-15,843249.0,11.7626
2023-06-14,836405.0,11.6681
2023-06-10,826417.0,11.5716
2023-06-09,820930.0,11.4896
2023-06-08,814581.0,11.4163
2023-06-07,812502.0,11.3892
2023-06-06,813294.0,11.415
2023-06-03,808756.0,11.4139
2023-06-02,809657.0,11.3629
2023-06-01,809942.0,11.3697
2023-05-31,806872.0,11.3615
2023-05-30,800555.0,11.2901
2023-05-27,799667.0,11.3044
2023-05-26,799841.0,11.2816
2023-05-25,799669.0,11.3243
2023-05-24,801665.0,11.3504
2023-05-23,799379.0,11.3499
2023-05-20,799093.0,11.366
2023-05-19,800366.0,11.3554
2023-05-18,807642.0,11.5124
2023-05-17,799798.0,11.464
2023-05-16,791004.0,11.3467
2023-05-13,772041.0,11.0844
2023-05-12,758846.0,10.9119
2023-05-11,766929.0,11.039
2023-05-06,768207.0,11.1158
2023-05-05,786139.0,11.3488
2023-05-04,793071.0,11.4456
2023-05-03,799609.0,11.4884
2023-04-29,805093.0,11.5659
2023-04-28,815601.0,11.7609
2023-04-27,816274.0,11.7626
2023-04-26,815499.0,11.7664
2023-04-25,812745.0,11.77
2023-04-22,814863.0,11.8111
2023-04-21,816188.0,11.847
2023-04-20,816549.0,11.8178
